Personeelsnummer,Roepnaam,Tussenvoegsel,Achternaam,Adres,PC,Plaats,Tel,Geboortedatum
4800900994,Rick,,Albersen,Veilingweg 2,3155AL,Den Haag,0174-244328,1993-04-13
5463203586,Chelo,,Bachoe,J.J. Heggestraat 78,2596HW,Den Haag,070-3600197,1988-05-06
9476422663,Dali,,Baptist,Oosteinde 46,2291EX,Den Haag,070-3471198,1986-11-04
3582030216,Djewan,,Barnas,Vinkensteynstraat 53,2641LL,Leidschendam,070-3602174,1982-03-29
6174376203,Enchi,,Bentvelzen,Troelstrastraat 13,2291RT,Den Haag,070-3259861,1992-03-28
9396054158,Jan-Willem,,Berg,Voorstondenstraat 38,2584VR,Voorburg,0174-414221,1972-03-12
7825495440,Mark,,Beringen,Marsgeel 45,2675SV,Den Haag,0174-248039,1974-11-09
3047434897,Rachel,,Blom,Dr. R.J. Fruinplantsoen 23,2286JL,Den Haag,015-2628410,1995-10-17
2764737168,Bianca,,Broos,Madepolderweg 49,2678CH,Hoek van Holland,070-3974421,1977-09-04
4502492817,Rody,,Broos,Het Kleine Loo 289,2291TR,Den Haag,070-3902363,1964-05-16
5469705234,Tonton,,Dijkshoorn,Stieltjesstraat 273,2625EW,Den Haag,0174-516033,1996-06-23
6530691351,Alexander,,Freijser,Burg Hoogenboomstr 32,2642AA,Den Haag,0174-247352,1961-11-02
9382391964,Arno,,Gardien,E. du Perronlaan 772,2635BB,Den Haag,010-5218011,1992-05-20
1108756895,Bas,van,Geest,Gv Juliana v Stolbergln 739,2681RG,Delft,070-3210673,1980-10-28
7250984481,Danny,,Haas,Praagsingel 179,2552CS,Rijswijk Zh,070-3643346,1982-09-24
5467268002,Hugo,,Hamelen,Lau Mazirellaan 321,2685SR,Delft,070-3607727,2002-09-24
4849661606,Jack,,Hoogmoed,Debussystraat 116,2515NG,Wateringen,0174-246605,1982-11-24
5061674664,Jasper,,Isidora,Lisdodde 26,2552MV,'s-Gravenzande,0174 240068,2001-01-02
3983473706,Jelle,,Jansen,Schrijnwerkersgaarde 23,2542VS,Kwintsheul,0174-510474,1996-07-07
3428367915,Jorina,,Kleijn,Rieteiland 27,2622AN,Wateringen,079-3213958,1960-01-27
